INFO 2023-06-02 19:56:58,978 Watching for file changes with StatReloader
INFO 2023-06-02 19:57:04,107 "GET / HTTP/1.1" 302 0
INFO 2023-06-02 19:57:04,172 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2023-06-02 19:57:04,222 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-06-02 19:57:04,241 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-06-02 19:57:04,242 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-06-02 19:57:04,243 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-06-02 19:57:04,253 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-06-02 19:57:04,309 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-06-02 19:57:04,309 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-06-02 19:57:04,310 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-06-02 19:57:04,310 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-06-02 19:57:04,311 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-06-02 19:57:04,351 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-06-02 19:57:04,355 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-06-02 19:57:04,364 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2023-06-02 19:57:04,769 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-06-02 19:57:05,339 Not Found: /favicon.ico
WARNING 2023-06-02 19:57:05,340 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-06-02 19:57:19,321 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-06-02 19:57:19,379 "GET / HTTP/1.1" 200 9290
INFO 2023-06-02 19:57:19,432 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-06-02 19:57:19,456 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-06-02 19:57:19,518 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-06-02 19:57:53,767 "GET /student/list HTTP/1.1" 200 9946
